CountryNum,StateNum,State,zip_states
484,1,Aguascalientes,NA
484,2,Baja California,NA
484,3,Baja California Sur,NA
484,4,Campeche,NA
484,5,Chiapas,NA
484,6,Chihuahua,NA
484,7,Coahuila,NA
484,8,Colima,NA
484,9,Distrito Federal,NA
484,10,Durango,NA
484,11,Guanajuato,NA
484,12,Guerrero,NA
484,13,Hidalgo,NA
484,14,Jalisco,NA
484,15,Mexico,NA
484,16,_Michoacán,NA
484,17,Morelos,NA
484,18,Nayarit,NA
484,19,Nuevo León,NA
484,20,Oaxaca,NA
484,21,Puebla,NA
484,22,Querétaro,NA
484,23,Quintana Roo,NA
484,24,San Luis Potosí,NA
484,25,Sinaloa,NA
484,26,Sonora,NA
484,27,Tabasco,NA
484,28,Tamaulipas,NA
484,29,Tlaxcala,NA
484,30,Veracruz,NA
484,31,Yucatán ,NA
484,32,Zacatecas,NA
484,48,Mexico Country,NA
840,2,ALABAMA,Alabama.zip
840,3,ALASKA,Alaska.zip
124,4,Alberta,Alberta.zip
840,6,ARIZONA,Arizona.zip
840,7,ARKANSAS,Arkansa.zip
124,11,British Columbia,BritCol.zip
840,14,CALIFORNIA,Califor.zip
840,17,COLORADO,Colorad.zip
840,18,CONNECTICUT,Connect.zip
840,21,DELAWARE,Delawar.zip
840,22,District of Columbia,NA
840,25,FLORIDA,Florida.zip
840,27,GEORGIA,Georgia.zip
840,33,IDAHO,Idaho.zip
840,34,ILLINOIS,Illinoi.zip
840,35,INDIANA,Indiana.zip
840,36,IOWA,Iowa.zip
840,38,KANSAS,Kansas.zip
840,39,KENTUCKY,Kentuck.zip
840,42,LOUISIANA,Louisia.zip
840,44,MAINE,Maine.zip
124,45,Manitoba,Manitob.zip
840,46,MARYLAND,Marylan.zip
840,47,MASSACHUSETTS,Massach.zip
840,49,MICHIGAN,Michiga.zip
840,50,MINNESOTA,Minneso.zip
840,51,MISSISSIPPI,Mississ.zip
840,52,MISSOURI,Missour.zip
840,53,MONTANA,Montana.zip
840,54,NEBRASKA,Nebrask.zip
840,55,NEVADA,Nevada.zip
124,56,New Brunswick,NBrunsw.zip
840,58,NEW HAMPSHIRE,NHampsh.zip
840,59,NEW JERSEY,NJersey.zip
840,60,NEW MEXICO,NMexico.zip
840,61,NEW YORK,NYork.zip
124,57,Newfoundland and Labrador,Newfoun.zip
840,63,NORTH CAROLINA,NCaroli.zip
840,64,NORTH DAKOTA,NDakota.zip
124,43,Northwest Territories,NWTerri.zip
124,65,Nova Scotia,NovaSco.zip
124,62,Nunavut,Nunavut.zip
840,66,OHIO,Ohio.zip
840,67,OKLAHOMA,Oklahom.zip
124,68,Ontario,Ontario.zip
840,69,OREGON,Oregon.zip
840,72,PENNSYLVANIA,Pennsyl.zip
124,75,Prince Edward Island,PEI.zip
840,74,PUERTO RICO,NA
124,76,Quebec,Quebec.zip
840,77,RHODE ISLAND,RhodeIs.zip
124,79,Saskatchewan,SCaroli.zip
840,80,SOUTH CAROLINA,SDakota.zip
840,81,SOUTH DAKOTA,Saskatc.zip
840,82,TENNESSEE,Tenness.zip
840,83,TEXAS,Texas.zip
840,85,UTAH,Utah.zip
840,87,VERMONT,Vermont.zip
840,88,VIRGINIA,Virgini.zip
840,89,WASHINGTON,W_Virgi.zip
840,90,WEST VIRGINIA,Washing.zip
840,91,WISCONSIN,Wiscons.zip
840,92,WYOMING,Wyoming.zip
124,93,Yukon,Yukon.zip